Cereal,Manufacturer,Type,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugars,Shelf,Potassium,Vitamins,Weight,Cups
Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10.0,1,70.0,25,1.0,0.75
Basic 4,G,C,130,3,2,210,2.0,18.0,8.0,3,100.0,25,1.33,0.75
Cheerios,G,C,110,6,2,290,2.0,17.0,1.0,1,105.0,25,1.0,1.25
Cinnamon Toast Crunch,G,C,120,1,3,210,0.0,13.0,9.0,2,45.0,25,1.0,0.75
Clusters,G,C,110,3,2,140,2.0,13.0,7.0,3,105.0,25,1.0,0.5
Cocoa Puffs,G,C,110,1,1,180,0.0,12.0,13.0,2,55.0,25,1.0,1.0
Count Chocula,G,C,110,1,1,180,0.0,12.0,13.0,2,65.0,25,1.0,1.0
Crispy Wheat & Raisins,G,C,100,2,1,140,2.0,11.0,10.0,3,120.0,25,1.0,0.75
Golden Grahams,G,C,110,1,1,280,0.0,15.0,9.0,2,45.0,25,1.0,0.75
Honey Nut Cheerios,G,C,110,3,1,250,1.5,11.5,10.0,1,90.0,25,1.0,0.75
Kix,G,C,110,2,1,260,0.0,21.0,3.0,2,40.0,25,1.0,1.5
Lucky Charms,G,C,110,2,1,180,0.0,12.0,12.0,2,55.0,25,1.0,1.0
Multi-Grain Cheerios,G,C,100,2,1,220,2.0,15.0,6.0,1,90.0,25,1.0,1.0
Oatmeal Raisin Crisp,G,C,130,3,2,170,1.5,13.5,10.0,3,120.0,25,1.25,0.5
Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8.0,3,140.0,25,1.0,0.5
Total Corn Flakes,G,C,110,2,1,200,0.0,21.0,3.0,3,35.0,100,1.0,1.0
Total Raisin Bran,G,C,140,3,1,190,4.0,15.0,14.0,3,230.0,100,1.5,1.0
Total Whole Grain,G,C,100,3,1,200,3.0,16.0,3.0,3,110.0,100,1.0,1.0
Triples,G,C,110,2,1,250,0.0,21.0,3.0,3,60.0,25,1.0,0.75
Trix,G,C,110,1,1,140,0.0,13.0,12.0,2,25.0,25,1.0,1.0
Wheaties,G,C,100,3,1,200,3.0,17.0,3.0,1,110.0,25,1.0,1.0
Wheaties Honey Gold,G,C,110,2,1,200,1.0,16.0,8.0,1,60.0,25,1.0,0.75
All-Bran,K,C,70,4,1,260,9.0,7.0,5.0,3,320.0,25,1.0,0.33
All-Bran with Extra Fiber,K,C,50,4,0,140,14.0,8.0,0.0,3,330.0,25,1.0,0.5
Apple Jacks,K,C,110,2,0,125,1.0,11.0,14.0,2,30.0,25,1.0,1.0
Corn Flakes,K,C,100,2,0,290,1.0,21.0,2.0,1,35.0,25,1.0,1.0
Corn Pops,K,C,110,1,0,90,1.0,13.0,12.0,2,20.0,25,1.0,1.0
Cracklin' Oat Bran,K,C,110,3,3,140,4.0,10.0,7.0,3,160.0,25,1.0,0.5
Crispix,K,C,110,2,0,220,1.0,21.0,3.0,3,30.0,25,1.0,1.0
Froot Loops,K,C,110,2,1,125,1.0,11.0,13.0,2,30.0,25,1.0,1.0
Frosted Flakes,K,C,110,1,0,200,1.0,14.0,11.0,1,25.0,25,1.0,0.75
Frosted Mini-Wheats,K,C,100,3,0,0,3.0,14.0,7.0,2,100.0,25,1.0,0.8
Fruitful Bran,K,C,120,3,0,240,5.0,14.0,12.0,3,190.0,25,1.33,0.67
Just Right Crunchy  Nuggets,K,C,110,2,1,170,1.0,17.0,6.0,3,60.0,100,1.0,0.6081578947368422
Just Right Fruit & Nut,K,C,140,3,1,170,2.0,20.0,9.0,3,95.0,100,1.3,0.75
Mueslix Crispy Blend,K,C,160,3,2,150,3.0,17.0,13.0,3,160.0,25,1.5,0.67
Nut&Honey Crunch,K,C,120,2,1,190,0.0,15.0,9.0,2,40.0,25,1.0,0.67
Nutri-Grain Almond-Raisin,K,C,140,3,2,220,3.0,21.0,7.0,3,130.0,25,1.33,0.67
Nutri-grain Wheat,K,C,90,3,0,170,3.0,18.0,2.0,3,90.0,25,1.0,0.6293178670360111
Product 19,K,C,100,3,0,320,1.0,20.0,3.0,3,45.0,100,1.0,1.0
Raisin Bran,K,C,120,3,1,210,5.0,14.0,12.0,2,240.0,25,1.33,0.75
Raisin Squares,K,C,90,2,0,0,2.0,15.0,6.0,3,110.0,25,1.0,0.5
Rice Krispies,K,C,110,2,0,290,0.0,22.0,3.0,1,35.0,25,1.0,1.0
Smacks,K,C,110,2,1,70,1.0,9.0,15.0,2,40.0,25,1.0,0.75
Special K,K,C,110,6,0,230,1.0,16.0,3.0,1,55.0,25,1.0,1.0
100% Bran,N,C,70,4,1,130,10.0,5.0,6.0,3,280.0,25,1.0,0.33
Shredded Wheat,N,C,80,2,0,0,3.0,16.0,0.0,1,95.0,0,0.83,0.6507562600233271
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4.0,19.0,0.0,1,140.0,0,1.0,0.67
Shredded Wheat spoon size,N,C,90,3,0,0,3.0,20.0,0.0,1,120.0,0,1.0,0.67
Strawberry Fruit Wheats,N,C,90,2,0,15,3.0,15.0,5.0,2,90.0,25,1.0,0.6724767371288972
Bran Flakes,P,C,90,3,0,210,5.0,13.0,5.0,3,190.0,25,1.0,0.67
"Fruit & Fibre Dates, Walnuts, and Oats",P,C,120,3,2,160,5.0,12.0,10.0,3,200.0,25,1.25,0.67
Fruity Pebbles,P,C,110,1,1,135,0.0,13.0,12.0,2,25.0,25,1.0,0.75
Golden Crisp,P,C,100,2,0,45,0.0,11.0,15.0,1,40.0,25,1.0,0.88
Grape Nuts Flakes,P,C,100,3,1,140,3.0,15.0,5.0,3,85.0,25,1.0,0.88
Grape-Nuts,P,C,110,3,0,170,3.0,17.0,3.0,3,90.0,25,1.0,0.25
Great Grains Pecan,P,C,120,3,3,75,3.0,13.0,4.0,3,100.0,25,1.0,0.33
Honey-comb,P,C,110,1,0,180,0.0,14.0,11.0,1,35.0,25,1.0,1.33
Post Nat. Raisin Bran,P,C,120,3,1,200,6.0,11.0,14.0,3,260.0,25,1.33,0.67
100% Natural Bran,Q,C,120,3,5,15,2.0,8.0,8.0,3,135.0,0,1.0,0.6944830099858563
Cap'n'Crunch,Q,C,120,1,2,220,0.0,12.0,12.0,2,35.0,25,1.0,0.75
Honey Graham Ohs,Q,C,120,1,2,220,1.0,12.0,11.0,2,45.0,25,1.0,1.0
Life,Q,C,100,4,2,150,2.0,12.0,6.0,2,95.0,25,1.0,0.67
Puffed Rice,Q,C,50,1,0,0,0.0,13.0,0.0,3,15.0,0,0.5,1.0
Puffed Wheat,Q,C,50,2,0,0,1.0,10.0,0.0,3,50.0,0,0.5,0.7167788390646176
Quaker Oat Squares,Q,C,100,4,1,135,2.0,14.0,6.0,3,110.0,25,1.0,0.5
Almond Delight,R,C,110,2,2,200,1.0,14.0,8.0,3,97.35526315789474,25,1.0,0.75
Bran Chex,R,C,90,2,1,200,4.0,15.0,6.0,1,125.0,25,1.0,0.67
Corn Chex,R,C,110,2,0,280,0.0,22.0,3.0,1,25.0,25,1.0,1.0
Double Chex,R,C,100,2,0,190,1.0,18.0,5.0,3,80.0,25,1.0,0.75
"Muesli Raisins, Dates, & Almonds",R,C,150,4,3,95,3.0,16.0,11.0,3,170.0,25,1.0036842105263157,0.7393680343154678
"Muesli Raisins, Peaches, & Pecans",R,C,150,4,3,150,3.0,16.0,11.0,3,170.0,25,1.0300484764542936,0.7622544558196188
Rice Chex,R,C,110,1,0,240,0.0,23.0,2.0,1,30.0,25,1.0,1.13
Wheat Chex,R,C,100,3,1,230,3.0,17.0,3.0,1,115.0,25,1.0,0.67
Maypo,A,H,100,4,1,0,0.0,16.0,3.0,2,95.0,25,1.0,0.7854420144488243
Cream of Wheat (Quick),N,H,100,3,0,80,1.0,21.0,0.0,2,98.64941135734072,0,1.0,1.0
Quaker Oatmeal,Q,H,100,5,2,0,2.7,14.802631578947368,7.026315789473684,1,110.0,0,1.0,0.67
